2026-05-24 02:50:01,209 INFO [Ray]                 Book.java:560  | 5 sheets in D:\Program\Python\Piano\Ray.pdf
2026-05-24 02:50:23,236 INFO [Ray#3]         ScaleBuilder.java:401  | Normalized black jitter: 9.52 %
2026-05-24 02:50:23,236 INFO [Ray#3]            ScaleStep.java:65   | Scale{ interline(20,21,21) line(2,3,4) beam(10)}
2026-05-24 02:50:23,236 INFO [Ray#3]       StepMonitoring.java:98   | GRID
2026-05-24 02:50:23,326 INFO [Ray#3]       LinesRetriever.java:1500 | Global slope: 0.00000
2026-05-24 02:50:23,336 INFO [Ray#3]    ClustersRetriever.java:326  | Retrieved raw line clusters: 10 of sizes [5] with interline(20,21,21)
2026-05-24 02:50:23,381 INFO [Ray#3]            PeakGraph.java:310  | Systems: #1[1, 2] #2[3, 4] #3[5, 6] #4[7, 8] #5[9, 10]
2026-05-24 02:50:23,501 INFO [Ray#3]        SystemManager.java:779  | 1 part along 5 systems
2026-05-24 02:50:23,501 INFO [Ray#3]       StepMonitoring.java:98   | HEADERS
2026-05-24 02:50:23,845 INFO [Ray#3]       StepMonitoring.java:98   | STEM_SEEDS
2026-05-24 02:50:23,868 INFO [Ray#3]        StemSeedsStep.java:86   | stem(2 max:3)
2026-05-24 02:50:23,874 INFO [Ray#3]       StepMonitoring.java:98   | BEAMS
2026-05-24 02:50:26,121 INFO [Ray#3]       StepMonitoring.java:98   | LEDGERS
2026-05-24 02:50:26,206 INFO [Ray#3]       StepMonitoring.java:98   | HEADS
2026-05-24 02:50:30,685 INFO [Ray#3]        HeadSeedTally.java:235  | Scale information: HeadSeeds{NOTEHEAD_VOID[L:-0.5] NOTEHEAD_BLACK[L:-0.5,R:-0.5]}
2026-05-24 02:50:30,687 INFO [Ray#3]       StepMonitoring.java:98   | STEMS
2026-05-24 02:50:31,392 INFO [Ray#3]       StepMonitoring.java:98   | REDUCTION
2026-05-24 02:50:31,547 INFO [Ray#3]        ReductionStep.java:105  | Stems free length median value: 67 pixels, 3.2 interlines
2026-05-24 02:50:31,552 INFO [Ray#3]       StepMonitoring.java:98   | CUE_BEAMS
